feature,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
boltz_autoregwithseq_solublempnn,1,0.8523148777064049,0.6869960217636638,0.7390722569134701,0.6736910491160127,0.6706288796237038,0.561904761904762
esmfold_end_C_B_lis_score,1,0.8522948386478981,0.6724565136146008,0.601830970790378,0.6880412807994845,0.6604914331023546,0.5260607830935115
esmfold_end_C_A_lis_score_max,1,0.8509554246863928,0.6720930848481104,0.6455917096219932,0.6721946094832839,0.6621993541788764,0.5135574492945048
esmfold_end_C_B_ipSAE_max,1,0.849725653547831,0.6670506946344965,0.642665378006873,0.6675141766646363,0.6531814159800509,0.5120334268913752
boltz_rosetta_A_B_side1_score,1,0.849723252646242,0.6656861822289157,0.6500381291306558,0.6752417782828013,0.6541220022433927,0.5549959871589085
boltz_rosetta_A_C_per_residue_energy_int,1,0.8495618681681857,0.6887110943775101,0.6551220132180986,0.681712741346676,0.6645278214679698,0.5145331728196897
esmfold_start_glycine_linker_A_B_ipSAE_d0chn_max,1,0.8482256056688691,0.6311183306407234,0.6052405498281788,0.6298235236993811,0.617804897668379,0.5146115647900024
chai1_rmsd_alone,1,0.8477034855884324,0.6548015266950935,0.7247637457044673,0.6542630047172171,0.6451890922880683,0.5055944322381538
esmfold_start_glycine_linker_A_B_ipSAE_max,1,0.8476800248970602,0.631097731439384,0.6052405498281788,0.6297896821543233,0.617783351145126,0.5145607640432315
boltz_autoregwithseq_proteinmpnn,1,0.8470039524668956,0.668258591666509,0.7333375812412387,0.6548412733454015,0.6538583420841695,0.5607511737089201
esmfold_start_A_C_pdockq,1,0.8462161256343963,0.6458894293726954,0.634557560137457,0.640911779506149,0.6290694200250514,0.49426586570822584
esmfold_start_A_C_pdockq_max,1,0.8462161256343963,0.6458894293726954,0.634557560137457,0.640911779506149,0.6290694200250514,0.49426586570822584
esmfold_ptm_middle,1,0.8458048453509528,0.6959999293741668,0.6591494845360825,0.6701126187764663,0.6575453051562268,0.5271339488690483
esmfold_start_A_C_pdockq2,1,0.8456715024418271,0.6418122588789915,0.6211608676975945,0.6371524252616835,0.6265183116718953,0.49604389184521014
