features,n_features,roc_auc_leah_12k_detected
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9080430703972592
"('dna_sequence_entropy', 'seq_kl_vs_human', 'esmfold_plddt_binder_end')",3,0.9080216232759204
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esm2_full_LL_alone')",3,0.9080157377898235
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esm2_full_LL_alone')",3,0.9080069095606779
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'seq_kl_vs_human')",3,0.9079921958454353
"('dna_sequence_entropy', 'esm2_full_LL_alone')",2,0.9079745393871442
"('esm2_pll', 'seq_kl_vs_human', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9079604637002618
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esm2_full_LL_car')",3,0.9079274554983682
"('aa_sequence_entropy', 'gravy_score', 'boltz_rosetta_side1_normalized')",3,0.9079166326780325
"('aa_sequence_entropy', 'gravy_score', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9079166326780325
"('dna_sequence_entropy', 'boltz_sap_score')",2,0.9078564257028112
"('dna_sequence_entropy', 'boltz_rosetta_A_B_complex_normalized', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9078481510621558
"('dna_sequence_entropy', 'boltz_rosetta_A_B_complex_normalized', 'boltz_rosetta_side1_normalized')",3,0.9078481510621558
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esm2_binder_LL_car')",3,0.9078156312625251
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'gravy_score')",3,0.9077597191446034
"('dna_sequence_entropy', 'esm2_full_LL_target', 'gravy_score')",3,0.9077096925127788
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'boltz_rosetta_complex_normalized')",3,0.907700464964516
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'boltz_rosetta_A_BC_complex_normalized')",3,0.907700464964516
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esm2_binder_LL_car')",3,0.9076949787975365
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_end_C_B_pdockq2')",3,0.9075625553603537
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esm2_binder_LL_car_target')",3,0.907512528728529
"('dna_sequence_entropy', 'aa_sequence_entropy', 'seq_kl_vs_human')",3,0.9074625020967044
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'boltz_rosetta_A_B_complex_normalized')",3,0.9074594432580271
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'boltz_rosetta_A_B_complex_normalized')",3,0.9074594432580271
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esm2_binder_LL_car_target')",3,0.9074448456384132
"('dna_sequence_entropy', 'esm2_binder_LL_target')",2,0.9073859907774432
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esm2_full_LL_target')",3,0.9073653915761037
