features,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9341333358357474,0.9186485064524328,0.7836993970714901,0.9175075815347509,0.8705410509173438,0.7015001400809923
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_plddt_binder_middle')",3,0.934129081681509,0.9149723823564898,0.765356529209622,0.910349333027288,0.8670378414405717,0.771599842517685
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9341247725749307,0.9129242331947302,0.834460910652921,0.9067591865081116,0.8679427954171983,0.720621293133009
"('dna_sequence_entropy', 'esm2_pll', 'boltz_rosetta_A_C_complex_normalized')",3,0.9341119354768617,0.9066805622361178,0.8165887850467289,0.9159211159211159,0.8732997481108313,0.7582798050202724
"('dna_sequence_entropy', 'esmfold_plddt_binder_end', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9340853798532457,0.9153018323293173,0.7533045246568378,0.9103105371699778,0.8705908527673144,0.7401819154628144
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'gravy_score')",3,0.9340677966101696,0.9101580547291354,0.8398840206185567,0.9082717564350433,0.8665724365383068,0.711731162448088
"('dna_sequence_entropy', 'esmfold_plddt_binder_end_glycine_linker', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9340642737492574,0.9160140562248995,0.7928317234367056,0.9096042714948034,0.8684803332334211,0.7312600321027287
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_plddt_binder_middle')",3,0.9340488844201857,0.9149400121829561,0.7639604810996563,0.910349333027288,0.8670119856126682,0.7696186133936169
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_end_glycine_linker')",3,0.934026860097673,0.9123327418419805,0.8274269759450172,0.9072005979653875,0.8676871100079291,0.7108167490062104
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9340012514591061,0.9060037523452157,0.8266224940536867,0.9096622889305815,0.866052060737527,0.6833154698106466
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'boltz_rosetta_side1_normalized')",3,0.9340012514591061,0.9060037523452157,0.8266224940536867,0.9096622889305815,0.866052060737527,0.6833154698106466
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9339962175620035,0.9150135807591688,0.7687929553264605,0.9086572557743975,0.868020362900909,0.7520161546374732
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9339890816784968,0.9038787829349866,0.8166836561331975,0.912170650134595,0.8688777257677819,0.6786352268667382
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'boltz_rosetta_side1_normalized')",3,0.9339890816784968,0.9038787829349866,0.8166836561331975,0.912170650134595,0.8688777257677819,0.6786352268667382
"('dna_sequence_entropy', 'esm2_full_LL_target', 'boltz_rosetta_side1_normalized')",3,0.9339796162935784,0.9038298393017375,0.8164288141352363,0.9121420996818663,0.8690449007551416,0.6792783136834584
"('dna_sequence_entropy', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9339796162935784,0.9038298393017375,0.8164288141352363,0.9121420996818663,0.8690449007551416,0.6792783136834584
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esm2_full_LL_car')",3,0.9339569669796667,0.9061301900644424,0.8282364933741081,0.9135940941349212,0.8656769363756462,0.6937834941050375
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esm2_full_LL_car')",3,0.9339569669796667,0.9061301900644424,0.8282364933741081,0.9135940941349212,0.8656769363756462,0.6937834941050375
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9339569568131764,0.9137570294774571,0.7755047250859106,0.9078950853248346,0.8682559382218085,0.7497682215928574
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9339469022311596,0.9146957645099303,0.7773303264604812,0.9085689734829424,0.8681553877799612,0.7508223370883552
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'esm2_full_LL_car')",3,0.9339306233840851,0.9135422092349162,0.778833762886598,0.9078627151513011,0.8682846669194793,0.7566136222202466
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_middle')",3,0.9338142775064637,0.9147163637112697,0.7653028350515464,0.9101197990695047,0.8681783707380977,0.7599283709470529
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9338037935390611,0.9127039407630522,0.8034443314692425,0.9125015302422962,0.8647598859145226,0.7310058855002675
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'max_pident_cross_team_hamming')",3,0.9337956047112898,0.9123651120155142,0.8470253436426117,0.9090250986554607,0.8648602061571345,0.7516478492233836
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_full_LL_car')",3,0.9337812410226947,0.9104111306313065,0.8487972508591065,0.9078303449777676,0.8638920490456328,0.7589885571317899
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_full_LL_car_target')",3,0.9337280953748923,0.9117000520865519,0.8484750859106529,0.9087455380658527,0.8646217579664679,0.7517113501568473
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9337149286603467,0.913651090727711,0.7629939862542955,0.908922102648763,0.8672389423242666,0.7405224856805395
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esm2_full_LL_car_target')",3,0.933698410418462,0.9143985474620313,0.7776524914089347,0.9098196392785571,0.8676957286172303,0.7586964528378567
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_middle')",3,0.9336869194675859,0.9138659109702518,0.7765786082474226,0.9095871625777252,0.8676152882637524,0.7550895998171173
"('dna_sequence_entropy', 'aa_sequence_entropy', 'esmfold_plddt_binder_start')",3,0.9336751891219,0.9153490534666986,0.8033182989690721,0.9079921958454353,0.8650498155617609,0.7440658377678151
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'esmfold_plddt_binder_end_glycine_linker')",3,0.93367447093747,0.9131714236108046,0.7720682989690721,0.9085307178233117,0.8670981717056803,0.7401287798930645
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9336579526955856,0.9122062038908949,0.7714239690721649,0.9082129015740733,0.8675003734730697,0.7395826718652765
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'boltz_rosetta_side1_normalized')",3,0.933640214634364,0.9023533730320582,0.8218654434250765,0.9106411615955624,0.8691182946520314,0.6838692390139335
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'boltz_rosetta_A_BC_side1_normalized')",3,0.933640214634364,0.9023533730320582,0.8218654434250765,0.9106411615955624,0.8691182946520314,0.6838692390139335
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esm2_full_LL_car')",3,0.9336359283730729,0.9135127818044311,0.7813573883161512,0.9094047125087178,0.8675520851288769,0.7589758569450972
"('dna_sequence_entropy', 'esmfold_plddt_binder_end_glycine_linker', 'esm2_full_LL_car')",3,0.9336311404768745,0.9119295860443354,0.773034793814433,0.9080628216785994,0.8675147378219051,0.7465042736128221
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_binder_LL_car')",3,0.9336289859235851,0.9108172291720005,0.8478844501718213,0.90810107733823,0.8641822088921066,0.749831722526321
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_side1_normalized', 'esmfold_plddt_binder_end_glycine_linker')",3,0.933609114083918,0.9027979443674036,0.8442915392456678,0.9070764336405905,0.8661580741441456,0.6745802072168631
"('dna_sequence_entropy', 'boltz_rosetta_side1_normalized', 'esmfold_plddt_binder_end_glycine_linker')",3,0.933609114083918,0.9027979443674036,0.8442915392456678,0.9070764336405905,0.8661580741441456,0.6745802072168631
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'max_pident_cross_team_hamming')",3,0.9335569280857993,0.9125446193414728,0.8469716494845361,0.9094547391405425,0.8652078233989496,0.7320895617165573
"('dna_sequence_entropy', 'esmfold_plddt_binder_end', 'boltz_rosetta_side1_normalized')",3,0.9334789650412911,0.9017945998857981,0.8199966021066938,0.9066930418468065,0.8676544941529528,0.6876027152554485
