autoregwithoutseq_proteinmpnn,autoregwithoutseq_solublempnn,autoregwithseq_proteinmpnn,autoregwithseq_solublempnn,singleaascorewithoutseq_proteinmpnn,singleaascorewithoutseq_solublempnn,singleaascorewithseq_proteinmpnn,singleaascorewithseq_solublempnn,global_id
0.1365178078413009,0.1476284712553024,0.3267036080360412,0.3166559338569641,0.3326568603515625,0.341379702091217,0.3147206008434295,0.2972473800182342,133
0.1291819810867309,0.1545058190822601,0.3258118033409118,0.3206579685211181,0.3504243493080139,0.3375990688800812,0.2985315322875976,0.3043366074562073,134
0.13946107,0.14907499,0.3642482,0.3342118,0.39806062,0.36991343,0.3360129,0.30962402,135
0.1321493536233902,0.167283147573471,0.3664513826370239,0.3564123809337616,0.3951883018016815,0.3829328417778015,0.3399561941623688,0.3325429856777191,136
0.1377898305654525,0.1668666750192642,0.3642663657665252,0.3526155352592468,0.3840784728527069,0.384173184633255,0.3422656953334808,0.3254565000534057,137
0.133871391415596,0.1671932935714721,0.3724378049373626,0.3555098176002502,0.4017926156520843,0.3792684674263,0.3403352200984955,0.3312426209449768,138
0.1498560458421707,0.1785670220851898,0.3644380569458008,0.3697570562362671,0.3928763270378113,0.3982989490032196,0.3424774706363678,0.3387845158576965,139
0.1527764946222305,0.1962820142507553,0.3890048563480377,0.3747771978378296,0.4074925482273102,0.3944391310214996,0.3659782111644745,0.3509452044963836,140
0.1368176043033599,0.1765641421079635,0.3823803067207336,0.3612504601478576,0.4022530913352966,0.380767822265625,0.3631413877010345,0.3337275683879852,141
0.1450214385986328,0.1829752922058105,0.400063693523407,0.3615418672561645,0.4286446571350097,0.3884195983409881,0.3683256506919861,0.3334991335868835,142
0.1315361857414245,0.1483825594186782,0.3234472274780273,0.3049532771110534,0.332162082195282,0.3111851811408996,0.3110714256763458,0.2988290190696716,143
0.124358356,0.14571811,0.32400295,0.33162984,0.34953994,0.36154443,0.29599234,0.30026114,144
0.13810222,0.17013344,0.36002728,0.3526247,0.37483937,0.37364945,0.34781954,0.33536008,145
0.1384370476007461,0.1629302650690078,0.3360887765884399,0.3460342288017273,0.3458541631698608,0.3554104566574096,0.3248973488807678,0.3425365090370178,146
0.1308956,0.14004964,0.3511198,0.3348353,0.38304502,0.3814352,0.32100278,0.2966324,147
0.13368514,0.161051,0.33885327,0.32791907,0.3674507,0.36119014,0.30922922,0.29876623,148
0.14563106,0.18418899,0.38013023,0.36708134,0.41165653,0.40786943,0.34992748,0.33006823,149
0.1442036181688308,0.1815457046031952,0.3856992125511169,0.3438064455986023,0.3965817391872406,0.3529146611690521,0.3765767514705658,0.3344936966896057,150
0.12998293,0.1450599,0.3848047,0.35505462,0.42275062,0.38897756,0.3514926,0.32396105,151
0.121391356,0.13097355,0.3381433,0.32119045,0.36889747,0.34993678,0.31363183,0.29417604,152
0.13144109,0.14756206,0.34311765,0.3289875,0.3794338,0.35930413,0.3145706,0.30148074,153
0.1339108049869537,0.1729833781719207,0.3918040692806244,0.3661284148693084,0.4313612878322601,0.4015447199344635,0.3599794805049896,0.3360844254493713,154
0.12485255,0.14997378,0.35145125,0.34156808,0.3774403,0.3577782,0.3273052,0.32147777,155
0.12949881,0.13367982,0.3566243,0.3337676,0.39393535,0.37347788,0.32210153,0.29693294,156
0.13479385,0.16375637,0.36028185,0.3434437,0.38838464,0.38246685,0.3307746,0.30012637,157
0.11913259,0.16707528,0.34556633,0.3347513,0.37618333,0.36813837,0.32093805,0.30678824,158
0.14135312,0.15856984,0.37000665,0.35067594,0.4058253,0.3915086,0.33890632,0.31711385,159
0.12625803,0.12595822,0.31828237,0.3026721,0.34964427,0.3255736,0.28584182,0.28168613,160
0.1381315141916275,0.1616375893354416,0.3289275765419006,0.3312298655509949,0.3404022455215454,0.3448766767978668,0.3213881254196167,0.3224502205848694,161
0.1331011205911636,0.1778501570224762,0.3708645105361938,0.3581904768943786,0.3839594721794128,0.3634470105171203,0.3585578799247741,0.3532910645008087,162
0.13561359,0.15370962,0.3710399,0.36301193,0.40738076,0.40494126,0.34256533,0.32636932,163
0.13056232,0.1482887,0.32807353,0.31873828,0.35996765,0.3522243,0.29674396,0.28803402,164
0.1410981863737106,0.1651947200298309,0.4032131135463714,0.3839459717273712,0.4313560426235199,0.4091184735298157,0.3712392449378967,0.3503972291946411,165
0.1361083090305328,0.1948395818471908,0.421208769083023,0.4056076109409332,0.457728773355484,0.4368343949317932,0.3850142657756805,0.3733887672424316,166
0.1199165135622024,0.1493795812129974,0.357059508562088,0.3377563655376434,0.3834244608879089,0.351805567741394,0.3303613364696502,0.3111337721347809,167
0.130422905087471,0.166719451546669,0.3885619044303894,0.3753103911876678,0.4230669438838959,0.404308557510376,0.3569436073303222,0.3482792973518371,168
0.1305431,0.15526089,0.3290153,0.32722634,0.35791528,0.35426688,0.3088653,0.30912048,169
0.1354465186595916,0.1754174381494522,0.3590015769004822,0.3706265091896057,0.3851995468139648,0.4046062529087066,0.3386367857456207,0.3454027771949768,170
0.1289020329713821,0.1689171195030212,0.374478131532669,0.3568636178970337,0.4073146283626556,0.3831670582294464,0.3450065851211548,0.3284027576446533,171
0.1332570314407348,0.1529712378978729,0.3451539278030395,0.3307411968708038,0.3536057472229004,0.3466534614562988,0.32725790143013,0.3132115304470062,172
0.1354634165763855,0.1651599705219268,0.354984313249588,0.3596579432487488,0.3818010687828064,0.3890016973018646,0.3252815902233124,0.3288796246051788,173
0.1243288069963455,0.1573194563388824,0.3248533010482788,0.308588296175003,0.3351787328720093,0.3123682737350464,0.3054816126823425,0.2982296347618103,174
0.1310972869396209,0.1493852734565735,0.3861400485038757,0.3749690651893616,0.4190908372402191,0.4114579558372497,0.3488670289516449,0.3317494988441467,175
0.1142009273171424,0.1329960525035858,0.3173340857028961,0.3108997046947479,0.3385735154151916,0.3360791206359863,0.2969942688941955,0.2890726029872894,176
0.13733923,0.1561037,0.3897193,0.36355773,0.41969982,0.384934,0.36475417,0.34153926,177
0.1220031,0.1430907,0.34732056,0.33744958,0.38196212,0.37360525,0.31251982,0.30470094,178
0.13457999,0.15269323,0.35144836,0.3482223,0.38289598,0.37906912,0.3196263,0.3175766,179
