SequenceID,logFC,logCPM,LR,PValue,FDR,2-fold threshold?,Significant
192,-0.365238028,4.244120964,1.23947996,0.265571302,0.41986145,Not Sig,False
193,-0.012933282,5.746516039,0.002954778,0.956650044,0.974090467,Not Sig,False
194,0.412503114,8.927320053,2.837888888,0.092065099,0.197771623,Not Sig,False
195,-0.165539963,6.470079657,0.467318429,0.49422341,0.640204811,Not Sig,False
196,0.301301618,4.193768101,0.909796403,0.340168445,0.493551012,Not Sig,False
197,-0.093678605,7.108300056,0.146358985,0.702039412,0.808466546,Not Sig,False
198,0.096047326,7.089309527,0.188209481,0.664411047,0.777742162,Not Sig,False
199,0.138503665,8.185628716,0.367374646,0.5444388,0.683205522,Not Sig,False
200,0.289560054,7.117135953,1.312145339,0.252006597,0.404326102,Not Sig,False
201,-0.620451558,9.237258025,6.530551866,0.010603705,0.040007557,Not Sig,False
202,-0.134104283,7.703094273,0.357121637,0.550109166,0.687864356,Not Sig,False
203,-0.467924735,5.924669948,3.626100543,0.056879941,0.14007225,Not Sig,False
204,-0.528473919,9.131475461,5.246220763,0.021994491,0.068653441,Not Sig,False
205,-0.041751796,8.12628679,0.028831493,0.865168693,0.919638772,Not Sig,False
206,0.04192553,6.468017099,0.033284732,0.855236624,0.912303248,Not Sig,False
207,0.1806046,7.09747762,0.557864506,0.455121948,0.605230474,Not Sig,False
208,0.485203344,7.717474833,4.282729946,0.038501463,0.105149888,Not Sig,False
209,-0.096385734,7.187684832,0.172398744,0.677988708,0.788633502,Not Sig,False
210,-0.321152005,5.629799092,1.779997753,0.182149602,0.32238114,Not Sig,False
211,0.002294195,7.972595059,9.30221E-05,0.992304687,0.995812097,Not Sig,False
212,-0.467130681,7.355633738,3.901531676,0.048242107,0.123372733,Not Sig,False
213,0.2160039,7.195393795,0.938655441,0.332623868,0.485835628,Not Sig,False
214,0.75998021,4.536376941,5.932652911,0.01486285,0.05166586,Not Sig,False
215,-0.505937479,6.62999142,4.901916584,0.026826906,0.079460537,Not Sig,False
216,-0.593755103,7.401099333,7.198299791,0.007297268,0.030486565,Not Sig,False
217,-0.457296198,9.179927397,3.767923363,0.052244457,0.131508583,Not Sig,False
218,-0.051107735,9.275259152,0.048451039,0.825780839,0.894005503,Not Sig,False
219,-0.380629725,7.053091728,2.247308522,0.133847024,0.260655509,Not Sig,False
220,0.001477286,4.122134446,2.01036E-05,0.996422537,0.997887002,Not Sig,False
221,-0.235063174,5.867428087,0.952553979,0.329070055,0.482522779,Not Sig,False
222,0.381035862,5.108249485,2.10634222,0.146689578,0.277419591,Not Sig,False
223,-0.732662969,3.161171835,3.930454175,0.047419136,0.122021901,Not Sig,False
224,0.411926302,7.024482714,2.50826606,0.113250478,0.23152978,Not Sig,False
225,-0.320268999,6.88345897,1.889937662,0.169208953,0.30583284,Not Sig,False
226,-0.217283094,4.500896132,0.498197449,0.48029322,0.628764265,Not Sig,False
227,0.679299386,8.231926708,6.809506231,0.009067383,0.035869854,Not Sig,False
228,-0.060647778,7.163292769,0.071151842,0.789667024,0.869271583,Not Sig,False
229,0.460563688,7.155746602,3.887259475,0.048653754,0.124306967,Not Sig,False
230,0.306249205,4.548998381,1.020371269,0.312430959,0.466315417,Not Sig,False
231,0.332890983,6.259482636,1.625735311,0.202293931,0.347515243,Not Sig,False
232,0.314844263,8.566747578,2.013438503,0.1559116,0.289462129,Not Sig,False
233,0.691438051,6.689974368,5.381370627,0.020352882,0.064474448,Not Sig,False
234,-0.305051992,3.081841792,0.507045167,0.476420786,0.624534674,Not Sig,False
235,-0.827520748,8.129323281,9.324959475,0.002260533,0.012635991,Not Sig,False
236,-0.201435731,8.947957671,0.583804124,0.444825077,0.596778514,Not Sig,False
237,0.010706518,5.952012283,0.00164483,0.967649465,0.980893106,Not Sig,False
238,-0.407683449,7.910745171,2.691780849,0.100867024,0.211544445,Not Sig,False
239,0.18556328,3.716581031,0.305218113,0.580629475,0.712609734,Not Sig,False
240,-0.064643756,6.212667361,0.07163357,0.788972985,0.868798278,Not Sig,False
241,-0.510087546,8.017743254,4.785460767,0.028700968,0.083755202,Not Sig,False
242,-0.273306414,4.9443083,0.955462605,0.328332725,0.482064035,Not Sig,False
243,-0.436326139,8.02828004,3.132690436,0.076737003,0.174179194,Not Sig,False
244,-0.350540657,9.380948285,2.215929935,0.136592734,0.264249275,Not Sig,False
245,-0.490250754,4.866024254,2.904445762,0.088335613,0.19273739,Not Sig,False
246,-0.246242069,6.645124281,1.1718268,0.2790262,0.435076551,Not Sig,False
247,0.195011972,6.537271914,0.644385433,0.422127216,0.576543365,Not Sig,False
248,0.052630868,6.654650988,0.055867803,0.813150454,0.8856789,Not Sig,False
249,-0.358904264,6.223493634,2.399562676,0.121369175,0.243174994,Not Sig,False
250,-0.42701197,5.782991812,2.939210662,0.086452971,0.189662119,Not Sig,False
251,-0.969397172,8.237082535,11.99924551,0.000532221,0.004187706,Not Sig,False
252,-0.155363579,8.459028824,0.316572378,0.573674838,0.70661973,Not Sig,False
253,0.686276217,7.636104122,8.749972553,0.003096067,0.015909956,Not Sig,False
254,-0.305209608,8.972504739,1.848711816,0.173933292,0.31141744,Not Sig,False
255,0.169676233,6.621766205,0.487786643,0.484916297,0.632749837,Not Sig,False
256,-0.319796741,8.942871024,1.741744653,0.186917919,0.328770961,Not Sig,False
257,-0.048329703,5.904680619,0.037006138,0.847452551,0.907167458,Not Sig,False
258,0.936622083,5.983471655,7.99911192,0.00468003,0.021723245,Not Sig,False
259,0.119111685,6.468168319,0.267069498,0.605304387,0.732894265,Not Sig,False
260,0.217802136,7.538052368,0.892882444,0.344697387,0.497936823,Not Sig,False
261,-0.109464868,6.762456635,0.202951882,0.652348648,0.7672497,Not Sig,False
262,-0.674551964,7.890567876,7.01781704,0.008070256,0.032840985,Not Sig,False
263,-0.092634913,7.073701843,0.159390559,0.689718235,0.799002769,Not Sig,False
264,-0.515359519,5.11417274,3.806423045,0.051056374,0.128994487,Not Sig,False
265,0.426637816,4.389390791,2.003869365,0.156898238,0.29043863,Not Sig,False
266,-0.219927715,7.056889214,0.948697621,0.330051028,0.483648969,Not Sig,False
267,0.474324657,7.640464677,4.24103617,0.039458078,0.107033179,Not Sig,False
268,0.289377537,3.818425398,0.868536488,0.35136079,0.505633035,Not Sig,False
269,0.655044755,4.577744036,4.673750706,0.030626971,0.08842889,Not Sig,False
270,0.580675135,5.248906047,3.484385642,0.061950352,0.149701058,Not Sig,False
271,0.553818597,6.667292817,5.23305898,0.022161524,0.0690421,Not Sig,False
272,-0.046468223,8.887401957,0.044863577,0.83225508,0.89773407,Not Sig,False
