feature_combo,n_features,n_dna_detected,n_leah_detected,n_3class,auc_dna_detected,auc_leah_detected,auc_3class_avg,auc_3class_down,auc_3class_notsig,auc_3class_up
boltz_plddt_hotspot_none,1,12000,11796,6811,0.6546793861661315,0.45649257271152766,0.5077174910080164,0.6089332499297415,0.43725927752102,0.4769599455732879
chai1_A_B_ipSAE,1,12000,11796,6811,0.48310348639286166,0.5054209022604446,0.5000155608692837,0.509343921963248,0.4932440487558146,0.49745871188878854
chai1_A_C_ipSAE,1,12000,11796,6811,0.4893863572896096,0.504810526131323,0.4987424988665825,0.5035301476787511,0.49628926166029497,0.4964080872607014
chai1_A_B_ipSAE_max,1,12000,11796,6811,0.48134586998583767,0.5105385161504187,0.498439994422164,0.5085801445057885,0.4920839125333679,0.49465592622733545
chai1_A_C_ipSAE_max,1,12000,11796,6811,0.4843732338645868,0.5073609464423221,0.4994765469881883,0.5071260210140789,0.4947267236819413,0.4965768962685447
chai1_A_B_ipSAE_d0chn,1,12000,11796,6811,0.5024491103664253,0.5054130973157323,0.5041091912996152,0.5062443906551715,0.5012447254697935,0.5048384577738807
esmfold_middle_B_C_pdockq_max,1,12000,11796,6811,0.6075489198731374,0.547111029167373,0.5402565882059184,0.5718227311050069,0.513137857903182,0.5358091756095662
esmfold_middle_B_A_pdockq2,1,12000,11796,6811,0.6013408500056516,0.6068072518833847,0.499773813994421,0.478899797836946,0.5060849279901479,0.514336716156169
esmfold_middle_B_C_pdockq2,1,12000,11796,6811,0.5964052287581699,0.4282644586232637,0.47648605588921106,0.454361010633958,0.4904967790497994,0.4846003779838759
esmfold_middle_B_A_pdockq2_max,1,12000,11796,6811,0.6039102653608069,0.6037201606287075,0.4984890968644217,0.4749907077520012,0.5062552639203808,0.514221318920883
esmfold_middle_B_C_pdockq2_max,1,12000,11796,6811,0.5971576024441653,0.4328028867103439,0.4763455565741208,0.44963737568785295,0.4941813786369036,0.48521791539760606
esmfold_end_C_A_ipSAE,1,12000,11796,6811,0.4945690297142933,0.4997661314585365,0.49883718104958313,0.4978469181466271,0.4994309275264021,0.4992336974757202
esmfold_end_C_B_ipSAE,1,12000,11796,6811,0.564936435747578,0.549103749362903,0.5045129560553248,0.5211550490902663,0.49935318643933085,0.49303063263637725
esmfold_end_C_A_ipSAE_max,1,12000,11796,6811,0.5140933450355388,0.5549620819586936,0.5138523860970929,0.525064139175211,0.4969843981547391,0.5195086209613285
esmfold_end_C_B_ipSAE_max,1,12000,11796,6811,0.5515117288013883,0.6791728731930633,0.5303492105443619,0.5784759806721242,0.46777458325568866,0.5447970677052727
esmfold_end_C_A_ipSAE_d0chn,1,12000,11796,6811,0.4945690297142933,0.5000420730698923,0.49885962243865495,0.4978469181466271,0.49949825169361756,0.4992336974757202
esmfold_end_C_B_pdockq_max,1,12000,11796,6811,0.5249224562663315,0.5498799437513834,0.530782962523894,0.5388483958406991,0.5304091110239176,0.5230913807070652
esmfold_end_C_A_pdockq2,1,12000,11796,6811,0.5261782824353884,0.5206709984600696,0.49637439784309123,0.4530446843808644,0.5163957495880495,0.5196827595603597
esmfold_end_C_B_pdockq2,1,12000,11796,6811,0.6014763229808708,0.7740684098986138,0.6055119437032576,0.6371916560145775,0.5592185496792553,0.6201256254159399
esmfold_end_C_A_pdockq2_max,1,12000,11796,6811,0.525906089801129,0.52021703047772,0.4957452671073999,0.4526661952550609,0.5157004201876821,0.5188691858794567
esmfold_end_C_B_pdockq2_max,1,12000,11796,6811,0.5930356501705463,0.7685870561324261,0.6119530636657021,0.6313085298303824,0.5749509922501974,0.6295996689165265
